direction,entry_time,entry_price,exit_time,exit_price,duration,pnl,reason
LONG,2026-01-01T01:00,2984.32,2026-01-01T04:00,2975.35,3,-0.4,Signal flip
LONG,2026-01-01T05:00,2981.49,2026-01-01T06:00,2975.89,1,-0.29,Signal flip
LONG,2026-01-01T08:00,2982.59,2026-01-07T15:00,3164.7,151,6.01,Signal flip
LONG,2026-01-11T14:00,3125.46,2026-01-11T20:00,3115.1,6,-0.43,Signal flip
LONG,2026-01-11T21:00,3121.11,2026-01-11T22:00,3109.61,1,-0.47,Signal flip
LONG,2026-01-11T23:00,3123.45,2026-01-12T08:00,3115.47,9,-0.36,Signal flip
LONG,2026-01-12T15:00,3130.17,2026-01-12T17:00,3104.88,2,-0.91,Signal flip
LONG,2026-01-12T19:00,3121.83,2026-01-12T20:00,3102.57,1,-0.72,Signal flip
LONG,2026-01-13T04:00,3122.57,2026-01-16T15:00,3264.18,83,4.44,Signal flip
LONG,2026-01-16T16:00,3279.03,2026-01-18T23:00,3284.03,55,0.05,Signal flip
LONG,2026-01-27T02:00,2945.25,2026-01-27T06:00,2929.0,4,-0.65,Signal flip
LONG,2026-01-27T15:00,2937.45,2026-01-27T17:00,2930.3,2,-0.34,Signal flip
LONG,2026-01-27T18:00,2978.21,2026-01-29T02:00,2959.23,32,-0.74,Signal flip
LONG,2026-02-07T20:00,2105.32,2026-02-07T22:00,2088.58,2,-0.9,Signal flip
LONG,2026-02-08T08:00,2116.03,2026-02-08T10:00,2096.08,2,-1.04,Signal flip
LONG,2026-02-08T11:00,2132.35,2026-02-08T16:00,2080.97,5,-2.51,Signal flip
LONG,2026-02-08T18:00,2109.47,2026-02-08T21:00,2093.9,3,-0.84,Signal flip
LONG,2026-02-08T22:00,2108.43,2026-02-08T23:00,2089.74,1,-0.99,Signal flip
LONG,2026-02-09T03:00,2100.25,2026-02-09T04:00,2090.35,1,-0.57,Signal flip
LONG,2026-02-09T16:00,2091.21,2026-02-10T03:00,2064.96,11,-1.36,Signal flip
LONG,2026-02-13T14:00,1990.86,2026-02-15T12:00,2011.0,46,0.91,Signal flip
LONG,2026-02-17T18:00,1998.69,2026-02-17T20:00,1994.71,2,-0.3,Signal flip
LONG,2026-02-17T21:00,1999.74,2026-02-17T22:00,1993.92,1,-0.39,Signal flip
LONG,2026-02-18T03:00,1997.07,2026-02-18T05:00,1996.49,2,-0.13,Signal flip
LONG,2026-02-18T06:00,2002.06,2026-02-18T10:00,1997.27,4,-0.34,Signal flip
LONG,2026-02-20T18:00,1975.56,2026-02-20T19:00,1963.69,1,-0.7,Signal flip
LONG,2026-02-20T20:00,1971.05,2026-02-20T23:00,1968.88,3,-0.21,Signal flip
LONG,2026-02-21T08:00,1969.0,2026-02-22T12:00,1966.37,28,-0.23,Signal flip
LONG,2026-02-25T01:00,1918.34,2026-02-25T05:00,1887.98,4,-1.68,Signal flip
LONG,2026-02-25T08:00,1910.29,2026-02-27T10:00,1980.8,50,3.59,Signal flip
LONG,2026-02-28T20:00,1965.96,2026-03-01T17:00,1961.17,21,-0.34,Signal flip
LONG,2026-03-01T18:00,1975.82,2026-03-01T19:00,1953.9,1,-1.21,Signal flip
LONG,2026-03-02T00:00,1960.86,2026-03-02T02:00,1955.63,2,-0.37,Signal flip
LONG,2026-03-02T03:00,1972.3,2026-03-02T06:00,1943.31,3,-1.57,Signal flip
LONG,2026-03-02T14:00,1979.75,2026-03-03T08:00,1953.1,18,-1.45,Signal flip
LONG,2026-03-03T16:00,1983.98,2026-03-03T21:00,1968.46,5,-0.88,Signal flip
LONG,2026-03-03T22:00,1983.31,2026-03-04T03:00,1960.9,5,-1.23,Signal flip
LONG,2026-03-04T06:00,1980.33,2026-03-06T11:00,2051.03,53,3.47,Signal flip
LONG,2026-03-09T05:00,2010.6,2026-03-09T06:00,1985.0,1,-1.37,Signal flip
LONG,2026-03-09T08:00,1996.81,2026-03-09T23:00,1992.98,15,-0.29,Signal flip
LONG,2026-03-10T00:00,2015.37,2026-03-11T05:00,2014.63,29,-0.14,Signal flip
LONG,2026-03-11T06:00,2024.3,2026-03-11T07:00,2012.54,1,-0.68,Signal flip
LONG,2026-03-11T08:00,2023.76,2026-03-12T02:00,2024.67,18,-0.06,Signal flip
LONG,2026-03-12T06:00,2030.38,2026-03-14T09:00,2067.33,51,1.72,Signal flip
LONG,2026-03-14T11:00,2073.67,2026-03-18T12:00,2237.49,97,7.8,Signal flip
LONG,2026-03-23T11:00,2134.78,2026-03-24T16:00,2127.2,29,-0.46,Signal flip
LONG,2026-03-24T20:00,2148.48,2026-03-26T05:00,2119.55,33,-1.45,Signal flip
LONG,2026-03-30T03:00,2035.88,2026-03-30T18:00,2032.61,15,-0.26,Signal flip
LONG,2026-03-31T01:00,2073.0,2026-03-31T08:00,2040.1,7,-1.69,Signal flip
LONG,2026-03-31T11:00,2041.2,2026-04-02T02:00,2073.89,39,1.5,Signal flip
LONG,2026-04-04T19:00,2064.71,2026-04-05T00:00,2062.1,5,-0.23,Signal flip
LONG,2026-04-05T17:00,2062.53,2026-04-07T10:00,2089.32,41,1.2,Signal flip
LONG,2026-04-07T17:00,2099.5,2026-04-07T18:00,2086.3,1,-0.73,Signal flip
LONG,2026-04-07T19:00,2113.39,2026-04-12T03:00,2213.71,104,4.65,Signal flip
LONG,2026-04-12T05:00,2217.28,2026-04-12T08:00,2214.0,3,-0.25,Signal flip
LONG,2026-04-12T20:00,2213.53,2026-04-12T21:00,2211.24,1,-0.2,Signal flip
LONG,2026-04-13T13:00,2215.47,2026-04-18T11:00,2352.96,118,6.11,Signal flip
LONG,2026-04-18T12:00,2357.93,2026-04-18T18:00,2347.44,6,-0.54,Signal flip
LONG,2026-04-18T21:00,2355.33,2026-04-18T23:00,2350.32,2,-0.31,Signal flip
LONG,2026-04-20T18:00,2334.23,2026-04-20T21:00,2321.65,3,-0.64,Signal flip
LONG,2026-04-21T09:00,2325.69,2026-04-21T11:00,2320.45,2,-0.33,Signal flip
LONG,2026-04-21T23:00,2327.14,2026-04-23T03:00,2340.81,28,0.49,Signal flip
LONG,2026-04-23T04:00,2347.84,2026-04-23T07:00,2344.43,3,-0.25,Signal flip
LONG,2026-04-26T05:00,2327.84,2026-04-27T05:00,2323.18,24,-0.3,Signal flip
LONG,2026-04-29T03:00,2311.52,2026-04-29T13:00,2303.03,10,-0.47,Signal flip
LONG,2026-05-01T08:00,2286.92,2026-05-01T09:00,2282.07,1,-0.31,Signal flip
LONG,2026-05-01T11:00,2286.45,2026-05-01T20:00,2285.19,9,-0.16,Signal flip
LONG,2026-05-01T21:00,2292.68,2026-05-06T17:00,2349.7,116,2.39,Signal flip
LONG,2026-05-06T21:00,2354.52,2026-05-06T22:00,2347.28,1,-0.41,Signal flip
LONG,2026-05-09T16:00,2319.99,2026-05-11T12:00,2329.5,44,0.31,Signal flip
LONG,2026-05-11T15:00,2333.48,2026-05-12T01:00,2311.41,10,-1.05,Signal flip
LONG,2026-05-13T08:00,2316.64,2026-05-13T10:00,2308.46,2,-0.45,Signal flip
LONG,2026-05-14T15:00,2298.48,2026-05-14T23:00,2283.25,8,-0.76,Signal flip
LONG,2026-05-21T17:00,2146.6,2026-05-21T18:00,2126.87,1,-1.02,Signal flip
LONG,2026-05-21T19:00,2142.83,2026-05-21T20:00,2138.62,1,-0.3,Signal flip
LONG,2026-05-23T20:00,2146.3,2026-05-24T13:00,2110.14,17,-1.78,Signal flip
LONG,2026-05-25T05:00,2108.22,2026-05-25T20:00,2108.64,15,-0.08,Signal flip
LONG,2026-05-25T21:00,2110.9,2026-05-25T22:00,2103.61,1,-0.45,Signal flip
LONG,2026-05-25T23:00,2113.01,2026-05-26T00:00,2097.75,1,-0.82,Signal flip
LONG,2026-05-26T10:00,2127.56,2026-05-26T15:00,2087.36,5,-1.99,Signal flip
LONG,2026-05-31T02:00,2034.36,2026-05-31T05:00,2030.18,3,-0.31,Signal flip
LONG,2026-06-07T22:00,1672.56,2026-06-08T04:00,1657.05,6,-1.03,Signal flip
LONG,2026-06-08T07:00,1673.47,2026-06-08T08:00,1661.17,1,-0.83,Signal flip
LONG,2026-06-08T10:00,1672.36,2026-06-09T00:00,1663.26,14,-0.64,Signal flip
LONG,2026-06-09T04:00,1686.35,2026-06-09T08:00,1675.28,4,-0.76,Signal flip
